subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9109647681390762,0.9178025957577647,0.9368785287038927,True
male,7346,6224,1122,0.9102546808627634,0.9067499464850892,0.9435711966985774,True
christian,6689,6023,666,0.9140974363039779,0.9397755533172506,0.9149098358973634,True
white,4218,3024,1194,0.8454963585564506,0.811024823461594,0.9582215481222914,True
muslim,3471,2651,820,0.8502601411340405,0.8515236697166673,0.9443860774678359,True
black,2472,1657,815,0.8434849735829775,0.8248653477648316,0.9507915279721302,True
homosexual_gay_or_lesbian,1818,1319,499,0.8338048348402642,0.8343343505890572,0.943239745771451,True
jewish,1334,1124,210,0.857551686154889,0.8893595194648809,0.9216584514299074,True
psychiatric_or_mental_illness,838,690,148,0.9138023893458678,0.8849866828063683,0.9553135728994518,True
asian,780,686,94,0.9124821661187272,0.9195908681460243,0.9333805383905363,False
transgender,412,327,85,0.8423817233315344,0.8978674859495263,0.9074506759533734,False
latino,355,276,79,0.8987800403595672,0.8816209683619727,0.9436000764125381,False
atheist,217,195,22,0.8881118881118881,0.9085232699817404,0.9242769951901733,False
heterosexual,186,151,35,0.8220435193945128,0.8183021243747729,0.9382257638037546,False
buddhist,94,80,14,0.9008928571428572,0.8764077909270217,0.9519455855483822,False
other_race_or_ethnicity,89,71,18,0.9233176838810642,0.9041156556494606,0.9465136578352844,False
hindu,81,71,10,0.8915492957746478,0.8936507730837647,0.9343816165350362,False
other_religion,45,42,3,0.9047619047619048,0.9205822954181674,0.9276832552332646,False
bisexual,45,35,10,0.7914285714285714,0.8562210164654639,0.9148045208746179,False
physical_disability,15,14,1,1.0,0.9055104451862129,0.9955260463008042,False
intellectual_or_learning_disability,14,13,1,0.9230769230769231,0.9670971585516084,0.90833165457964,False
other_gender,2,1,1,0.0,0.6984772906274612,0.8340718361866397,False
other_sexual_orientation,1,0,1,,,0.9752605696446854,False
